,ID,Text
0,NDS_001-f-z,азат аллё а потом вот опять заново уже а по понятно я выше вот а сколько не знаю где я а я вам посчитаю да ко мне домой вы а потом он триста у меня да нет дома и они были взять у меня по-моему гаврикову да так понятно ставка меня там лежат марков слушаю а я так да видел а дома сейчас да
1,NDS_002-f-z,хорошо да да гулять а я я ульянова задачка у нас было хорошо в том же да сказать что она быстро бегает предлагаем поближе процент нашу что же лежал лежал окошко она обиделась задач задача да спасибо
2,NDS_003-f-z,например спасибо я назад одна с нами наименее а так там кечкин а она да знаете что расилю так шестьсот
3,NDS_004-m-z,я я готова я не пошёл
4,NDS_005-m-z,говорите а да манакова
5,NDS_006-m-z,ну спасибо валентину я ещё хорошо есть
6,NDS_007-m-z,да хорошо всё я подошёл к нему получилось всем вашим вопросам там ничего не большое тоже никому не пошёл анатольевна всего доброго хорошо разберусь харченко маленькая шакировичем носенко
7,NDS_008-m-z,я я приехала я нас была мама а зашла моя а я сидел на диване при вам сказала что две
8,NDS_009-f-z,забирала меня из детского садика еле на автобусе я первая села в автобус а тогда уже закрывались тверь и они не успела сесть и когда когда я приехала на нашу остановку а она аня быстро бегала вот и она тут же уже была там на нашей остановке когда я вышла я сразу видела я и так обрадовался мы пошли да
9,NDS_010-m-z,а габова да пока пока меня как попалась бы хотела ведь а потом лучше ничего сказать слушаю что-то сделать владимир страховки понятно да потом немножко что-нибудь а сейчас
10,NDS_011-m-z,сейчас да машина какой уж не помню сейчас говорю мне кажется поняла она два придётся на данный момент там я у меня уже другая на шесто дорогая каша нашёл у меняя на и потом что-то сейчас это другое хорошо я его уже во-вторых
11,NDS_012-m-z,что я и не долго да какую-то уберу у меня там два дружка там мы не играем там да мальцев потом какая очень красиво яркая такая это как бы бы э богородица ещё до и они были нет абдулаевне головкин один до свидания радовались назии дом да а что верно да
12,NDS_013-m-z,слушаю мирошко мне глушко я кто-то пока нет я хотел копеек пожалуйста вот у меня думаю что года сказала что пока меньше что ли подъеду павлович на меня нет
13,NDS_014-m-z,как я рынок покупатель мне как правило какое-то графику а потом она сказала мне стоять около этих не ушла куда-то покупать неверно испугался вы знаете я стала искать потом хотелось домой троллейбусов не было не было я подумаю вам даже не так да не очень
14,NDS_015-m-z,когда я я знаю пока не надо я наверное подзавис там суминой ручка купались и там я знаю какой другой город отдыхает три
15,NDS_016-m-z,мы с мамой поехали точную сумму будто бы поехали в америку был большой самолёт это было бы шестьсот сорок семь там было много этажей бизнес-класс и и дорогие классы над чем вы что мы поднимались тем дороже мы платили мы мы ехали в первый класс но это бизнес-класс по туда надо было платить это четыреста восемь долларов когда мы приехали в америку какой цели я мальчик начал спать и мне постоянно и давали сумму на улице больше но на улице было много машина там и много людей когда в тот день когда мы приехали было ещё утро и все собирались на работу и уходили
16,NDS_017-f-z,кредит я стою в халате ну у нас здесь в деревне дом такой да раньше была на улице там ступеньке деньги убрали там веранду большую большую сделали тысяча я я хожу я там радовалась я хожу сейчас хорошо
17,NDS_018-m-z,это такое хорошая не знаю другая серия нет это на это и неплохой или хороший а что тут думать размере жёлтой пару на одной второе банк только что как бы вот корабль большое вот что-то делит так сторона вся такая серия это я так вторичную павловича такой хорошо
18,NDS_019-m-z,тут я хотел бы ну это что я там разговариваю потом которые были так пешкова вот
19,NDS_020-m-z,потом я оказывается оказалось очень я карту думаю прям так что ну в принципе пушкарёва потом когда я прослушаю
20,NDS_021-m-z,еденными мы заехали мы полянку назирю да потом тут случайно заехал но в какой-то довольно старинный год а там открыли ворот заходим а там да ответ мне один не прошёл я ему говорю вот ну так он мне говорит год не так сказал мне данное слово на русском я не помню какие а
21,NDS_022-m-z,мы серебро серёжками девушка я да на рыбалку мы поймали не очень большой лоб другом берегу мы увидели ещё там леди сидели валерия они поймали много рыбы небольшой мы серёжку отправили спросить у них чуть-чуть чтобы потом похвастаться до хорошему он пошёл я уже пошёл куда-то я забыла отошёл потом пришёл к машине серёжку принёс маленького маленького гараська вот
22,NDS_023-m-z,я ехал не знаю такого далее ну большие головы были оно выглядела только в остальной
23,NDS_024-f-z,да теплице и наверное казьмину марьиной наверное она мне извините да стеклянной и думаю она мне показывает
24,NDS_025-f-z,
25,NDS_026-m-z,так я помню я это ну вот отметочка проходит на моей сказала что ей надо она к сожалению куда я тоже не знаю куда занять было много людей как бы повысим частненько уже ушла вот практики лежали она это она обещала ударился да потому мало класс я погашён испугался
26,NDS_027-f-z,ну снежаны не помню вероника что мне дело в том что ну может быть подружка грекову
27,NDS_028-m-z,да да в общем потом ну просто двойка получается пока нет бела как бы хотелось а потом я хотела мне сейчас хотелось да что
28,NDS_029-m-z,ну хотела я спасибо я я я поняла года сейчас я тогда увидел что любые я бросился пожалуйста я георгиевну ну сейчас
29,NDS_030-f-z,семь так семь не дают аллё как хорошо вас сейчас просто я как-то раскрыла король ещё куча увеличитсяя да на же слышно
30,NDS_031-f-z,потом через некоторое время побирушкой площадку мужество кучеренко
31,NDS_032-m-z,мая да машин говорю нет я да там говорю пожалуйста ну он да я понял хорошо тысяч
32,NDS_033-m-z,лена я много чем мая вот у меня
33,NDS_034-m-z,когда я потерялась вот я вышел из дома вылез у меня был дом не оставили ключи я по гулял чуть-чуть потом захотел есть пошёл домой там никого не было потом начал искать своих родителей вышел из подъезда никого нигде нет обошёл вот где-то по улице никого не был потом меня испугал уезжала куда глаза глядят вдруг что я спросил родители омска возвращаюсь домой что я вернусь к тому
34,NDS_035-m-z,хорошо и она сейчас я ваш спасибо
