audio_ID,alphacep_transcripts
NDS_001-f-z,
NDS_002-f-z,слуга прошла подальше от прошла галлия а этот потомство и яку я подачки собачку сожжения стэн сражений стану осознать что она быстро робея и ошейники зараз я падеже танки увидев кошку нашо чужих кошку за окошко одна бежал бежал бежала прошка нам обиделась стреляться с собачкой тонус протоки скорее собачку там на сердце
NDS_003-f-z,
NDS_004-m-z,
NDS_005-m-z,
NDS_006-m-z,правда не пойму сказал ну и ну ты не разрешал прошу я сам не паша угасшая афине но все они рисунки где она ну да ну сказал он ты своей судьбы
NDS_007-m-z,он все куда ноги спеша путы и ветров не то там все это я подошёл к нему у каждого дерева концепция каутерс сэм автономный округ толкуем там была большая гора меня туда но там никого не было в комнате там не было я все помню по звуку сетка фальстаф того места где он следовательно клиент стыда за него альтамонта фонтанка заняты старенькая макса своему соседу фыркнул
NDS_008-m-z,о господи тел первая не тому у кого не было всех сиротская зима тонко наскребешь на кресло знала все я то она носит я вас трясся бои на носу мамушки свет славушка за ослабло а заодно и ая ое сидел на диване и думал говоря мансли она вся была при нем бабушка теперь снова искал знала со славой непри
NDS_009-f-z,
NDS_010-m-z,
NDS_011-m-z,твоя о по лавочкам нашо просто я катона колодца какаято мышьяком шага лекарств мягко с снять  она сандоза по ноге там же я стало неожиданно другая камень на шею сэр статья не пожалеет об этом другая кажется нашёл сто смоет  сминает   и потом сезон кончился с другой слева повторяю
NDS_012-m-z,
NDS_013-m-z,
NDS_014-m-z,
NDS_015-m-z,
NDS_016-m-z,
NDS_017-f-z,
NDS_018-m-z,
NDS_019-m-z,то перхотью скапен какая разница что это сорвало взрывом разговаривала потом  срамота птиц которые были  так школы идиота грудей
NDS_020-m-z,
NDS_021-m-z,еденный машине мы въехали на полянку на берёзового угля заехал в какоето довольно старинный город открыли ворота заходим там стоит рассмеялся один нежели подошёл ко мне я ему было не так помни говорит готланд потом сказал два слова на русском девушка не помню какие а потом и уехали
NDS_022-m-z,
NDS_023-m-z,скалы я ехала подорвёт от дождя яночка коллатеральная организации аромата такое большое здание там ногу сети и большие города были круглое та когото прорезались
NDS_024-f-z,так кстати стекле кипарисами у меня сказано там жёлтая ты и налей налей странно то она мне помните да стеклянный я думаю на меня показывает
NDS_025-f-z,подружки планировки и треску поехали ко мне на память глумов на стол тонок ловчит тройняшки пуллинг но к на речке в этом доме алеку или это ты кареты а то помоему  стали остались на том томаса понял слушай у нас было коротким и качели площадках карл словно луна были ныне слышал рыскали листовки твою сестру кого про половой тряпки со жана твоя спец тому какора шинели сам репортажами с полными кумушки стэнли крылышки и и наклон  они понимали смуты я слышал
NDS_026-m-z,творческим гуляем с нами тренировку но в этом относясь ко проходит много ей казалось что ей надо кудато идти она сложнейших фома куда куда тридцать пять на улице было много людей с тех пор как бы по улицам ходили израиль и тётенька уже ушла  своеобразному все бежали она ается она дышала ударилась обо чтото во чтото упало и вновь кулак подмешал испугался 
NDS_027-f-z,комментарии молодой разуму строго по плану плутарху препятствия не помню мы шишки вверху девушка глупышка могут ли тут коим подружкам углекопы приехал
NDS_028-m-z,
NDS_029-m-z,так я уверять нас смотрел на улицу и носился а я нет существенно снизить цену музыкальности домашнее задание не было и  не захотел символы табуляции  надо излияний от векселей следил за временем тут я совершил нормально раздался звонок я поднял трубку мама говорила студентки десять гдето осмысленное выражение увидела что ября я отбросов и делать уроки тут раздался звонок там где сидели традицией я недоделанным   удивился
NDS_030-f-z,
NDS_031-f-z,
NDS_032-m-z,
NDS_033-m-z,по и я нашо но его с чем моих братьев  иглы нисколько
NDS_034-m-z,
NDS_035-m-z,отсутствуют что по магазинам и мучить по его лицу ещ и она мунлик постой
